Experiment Name:,151120_CGI002b_phopho_exported_populations
Primary Researcher:,Adeeb Rahman
Compensation used:,File-internal Compensation
Exported at:,December 16 2015 - 02:30 pm
Link to experiment:,https://mtsinai.cytobank.org/cytobank/experiments/15066

FCS Filename,Conditions,Individuals,SampleType,Ungated_EventCounts,Medians_Ungated_Sm147Di--(pSTAT5),Medians_Ungated_Eu153Di--(pSTAT1),Medians_Ungated_Gd156Di--(pp38),Medians_Ungated_Gd158Di--(pSTAT3),Medians_Ungated_Tb159Di--(pMAPKAP2),Medians_Ungated_Dy162Di--(pPLCg2),Medians_Ungated_Dy164Di--(IkBa),Medians_Ungated_Ho165Di--(pCREB),Medians_Ungated_Er167Di--(pERK1_2),Medians_Ungated_Lu175Di--(pS6)
151120_CGI002b_CV7095_healthy_live_pDCs.fcs,healthy,CV7095,pDCs,248,1.4781267642974854,3.1587969064712524,20.09832763671875,1.8189064264297485,50.75439643859863,32.27266502380371,9.622406482696533,86.05032348632812,0.07097976095974445,103.86821746826172
151120_CGI002b_CV7096_auto_live_B cells.fcs,auto,CV7096,B cells,2038,0.9602606892585754,0.0,8.187465190887451,1.9269623160362244,29.620677947998047,16.983400344848633,3.203477144241333,74.54523849487305,0.0,13.133990287780762
151120_CGI002b_CV7096_auto_live_Basophils.fcs,auto,CV7096,Basophils,57,4.065342426300049,2.586196184158325,2.6746022701263428,0.6895115971565247,1.6280020475387573,0.0,1.8651586771011353,136.95950317382812,2.277846097946167,6.6152777671813965
151120_CGI002b_CV7096_auto_live_CD14 monocytes.fcs,auto,CV7096,CD14 monocytes,7891,4.61305570602417,3.0866222381591797,51.56842803955078,5.322255611419678,58.11275100708008,30.421463012695312,9.80770492553711,323.24774169921875,5.165976524353027,35.562705993652344
151120_CGI002b_CV7096_auto_live_CD16 monocytes.fcs,auto,CV7096,CD16 monocytes,157,6.003599166870117,5.718573570251465,17.533729553222656,5.931192398071289,38.665626525878906,113.89346313476562,6.2979841232299805,170.62493896484375,0.0,5.729955673217773
151120_CGI002b_CV7096_auto_live_CD1c DCs.fcs,auto,CV7096,CD1c DCs,708,2.7174891233444214,1.3373140096664429,31.830248832702637,2.124175190925598,54.88728332519531,39.20932579040527,37.381513595581055,298.6260528564453,2.3601510524749756,66.2386589050293
151120_CGI002b_CV7096_auto_live_CD4 T cells.fcs,auto,CV7096,CD4 T cells,17830,0.7444596886634827,0.0,9.437677383422852,0.12175671383738518,18.673046112060547,8.054140567779541,12.437039375305176,80.73478317260742,2.243569493293762,2.905885338783264
151120_CGI002b_CV7096_auto_live_CD8 T cells.fcs,auto,CV7096,CD8 T cells,8004,0.7340770661830902,0.0,9.915154933929443,0.18599803745746613,21.298583030700684,8.449260234832764,13.451408386230469,89.71348190307617,2.333552122116089,3.5589598417282104
151120_CGI002b_CV7096_auto_live_NK cells.fcs,auto,CV7096,NK cells,13870,1.0671187043190002,0.0,7.022287130355835,0.47022293508052826,24.40919589996338,23.143953323364258,3.920679211616516,79.22795867919922,0.0,0.9182791709899902
151120_CGI002b_CV7096_auto_live_NKT cells.fcs,auto,CV7096,NKT cells,3313,0.8634753227233887,0.0,6.088325023651123,0.8484936356544495,19.09961700439453,16.33086585998535,5.781646251678467,70.56507110595703,2.587496280670166,1.3272119760513306
