FCS Filename,SampleType,Individuals,Medians_Ungated_Sm147Di--(pSTAT5), Medians_Ungated_Eu153Di--(pSTAT1), Medians_Ungated_Gd156Di--(pp38), Medians_Ungated_Gd158Di--(pSTAT3), Medians_Ungated_Tb159Di--(pMAPKAP2), Medians_Ungated_Dy162Di--(pPLCg2), Medians_Ungated_Dy164Di--(IkBa), Medians_Ungated_Ho165Di--(pCREB), Medians_Ungated_Er167Di--(pERK1_2), Medians_Ungated_Lu175Di--(pS6)
160217_CGI002_CV7004_singlets_B cells.fcs,B cells,CV7004,5.43766188621521,0.433804959058761,2.57662868499755,2.59764313697814,34.8057308197021,19.7925853729248,6.42063188552856,157.522506713867,0,22.6954917907714
160217_CGI002_CV7004_singlets_Basophils.fcs,Basophils,CV7004,8.38687992095947,1.93306040763854,1.5092214345932,1.14787316322326,7.68430423736572,1.26394867897033,7.87408256530761,63.177505493164,1.64174997806549,11.4303264617919
160217_CGI002_CV7004_singlets_CD14 monocytes.fcs,CD14 monocytes,CV7004,24.8004093170166,5.9699912071228,11.7866640090942,7.87218046188354,54.5250282287597,34.2705192565918,22.7973728179931,354.715179443359,5.3474702835083,41.6231956481933
160217_CGI002_CV7004_singlets_CD16 monocytes.fcs,CD16 monocytes,CV7004,19.0442485809326,6.88332056999206,4.78415274620056,5.77959299087524,37.1205024719238,65.6246490478515,9.78580522537231,188.932144165039,0.317631050944328,16.756287574768
160217_CGI002_CV7004_singlets_CD1c DC.fcs,CD1c DCs,CV7004,14.9435029029846,5.05694961547851,16.7990322113037,4.42086553573608,58.2157974243164,42.510305404663,48.6756610870361,410.690734863281,6.77322244644165,87.4208183288574
160217_CGI002_CV7004_singlets_CD4 T Cells.fcs,CD4 T cells,CV7004,5.76076030731201,0.231247194111347,1.10595273971557,2.40397977828979,26.6110572814941,12.2839531898498,30.8933162689209,134.496955871582,2.00908911228179,10.5693035125732
160217_CGI002_CV7004_singlets_CD8 T cells.fcs,CD8 T cells,CV7004,6.24287915229797,0.176906801760196,1.83092367649078,1.1839707493782,29.7833890914917,18.1010198593139,37.2373523712158,141.6216506958,1.37825989723205,11.4806580543518
160217_CGI002_CV7004_singlets_NK cells.fcs,NK cells,CV7004,7.00696086883544,1.01321399211883,5.06523990631103,0.588284075260162,29.7584781646728,34.9306907653808,5.03162765502929,136.271331787109,0.646129190921783,10.6435060501098
160217_CGI002_CV7004_singlets_NKT cells.fcs,NKT cells,CV7004,5.8839144706726,0.225427269935607,0.37015476822853,0.541419804096221,16.0828952789306,26.7910442352294,4.17186546325683,63.1496505737304,0,4.30371618270874
160217_CGI002_CV7004_singlets_T cells.fcs,T cells,CV7004,5.87096333503723,0.192013196647167,1.30231189727783,1.91718792915344,27.0859479904174,14.1148948669433,31.4007749557495,134.76798248291,1.81686002016067,10.7803702354431
160217_CGI002_CV7004_singlets_pDC.fcs,pDCs,CV7004,9.98536491394043,4.43925094604492,5.05607891082763,2.2248408794403,45.8495063781738,39.8075714111328,21.6285781860351,277.967712402343,0.443012475967407,45.8826522827148
160217_CGI002_CV7007_singlets_B cells.fcs,B cells,CV7007,5.53708410263061,0.324007019400596,2.19669771194458,2.46348440647125,35.1878147125244,18.3130054473876,6.22751498222351,160.458938598632,0,22.2208795547485
160217_CGI002_CV7007_singlets_Basophils.fcs,Basophils,CV7007,7.82165718078613,1.60189867019653,1.68399655818939,0.812302947044372,8.23552513122558,0.282818242907524,7.83218741416931,55.5036926269531,1.10213136672973,10.3696155548095
160217_CGI002_CV7007_singlets_CD14 monocytes.fcs,CD14 monocytes,CV7007,24.8472118377685,5.56641769409179,12.127721786499,7.1109070777893,55.2915458679199,29.4984683990478,20.1070556640625,362.322143554687,5.2540111541748,38.0049743652343
160217_CGI002_CV7007_singlets_CD16 monocytes.fcs,CD16 monocytes,CV7007,18.9468765258789,6.20852136611938,4.95272874832153,5.53847122192382,39.9759674072265,63.3503799438476,10.3278646469116,208.800201416015,0.713868200778961,16.9177227020263
160217_CGI002_CV7007_singlets_CD1c DC.fcs,CD1c DCs,CV7007,15.1185674667358,4.34187316894531,16.0468406677246,3.88018655776977,57.0243225097656,37.5981521606445,45.4791412353515,414.932922363281,5.64411783218383,75.5990447998046
160217_CGI002_CV7007_singlets_CD4 T Cells.fcs,CD4 T cells,CV7007,5.63743925094604,0.295498549938201,1.18134069442749,2.36866736412048,29.1777057647705,12.1654796600341,31.0235786437988,148.825622558593,2.05357456207275,10.1398372650146
160217_CGI002_CV7007_singlets_CD8 T cells.fcs,CD8 T cells,CV7007,6.35891127586364,0.228771038353443,1.74284344911575,1.19000077247619,31.8181400299072,18.3442945480346,37.2568607330322,156.064514160156,1.36065977811813,11.49116897583
160217_CGI002_CV7007_singlets_NK cells.fcs,NK cells,CV7007,6.45043087005615,0.812650918960571,5.5452561378479,0.536929428577423,30.2908363342285,32.4564514160156,4.81323051452636,143.471298217773,0.607804894447326,10.4230394363403
160217_CGI002_CV7007_singlets_NKT cells.fcs,NKT cells,CV7007,5.68422651290893,0,0.399527996778488,0,16.9876956939697,25.0425205230712,3.63686442375183,69.6646423339843,0,4.62083768844604
160217_CGI002_CV7007_singlets_T cells.fcs,T cells,CV7007,5.80981111526489,0.245991379022598,1.33069908618927,1.95055592060089,29.468276977539,13.8899765014648,31.3906841278076,149.061767578125,1.85949599742889,10.3730154037475
160217_CGI002_CV7007_singlets_pDC.fcs,pDCs,CV7007,9.63236904144287,4.36381244659423,5.41140556335449,2.57774376869201,46.7542457580566,34.0685005187988,23.4756660461425,303.427062988281,0.648711919784545,47.4739570617675
160217_CGI002_CV7009_singlets_B cells.fcs,B cells,CV7009,5.39324641227722,0.763308197259903,2.21053111553192,2.76991140842437,37.4352359771728,22.9880228042602,6.33900237083435,177.892593383789,0,25.775592803955
160217_CGI002_CV7009_singlets_Basophils.fcs,Basophils,CV7009,8.78789472579956,1.90088105201721,1.21586751937866,0.361064910888671,8.98107957839965,1.47429871559143,9.09442472457885,62.2720603942871,1.2618840932846,11.0179424285888
160217_CGI002_CV7009_singlets_CD14 monocytes.fcs,CD14 monocytes,CV7009,24.7838315963745,6.77083563804626,11.0598983764648,8.15338897705078,55.037254333496,39.1434879302978,21.902847290039,368.87336730957,4.21029758453369,39.9622268676757
160217_CGI002_CV7009_singlets_CD16 monocytes.fcs,CD16 monocytes,CV7009,20.0389566421508,8.58355331420898,4.41196107864379,6.70160579681396,41.3574047088623,78.7690734863281,10.497275352478,219.708129882812,0.473801344633102,19.3430566787719
160217_CGI002_CV7009_singlets_CD1c DC.fcs,CD1c DCs,CV7009,15.453833580017,6.13590145111084,15.7248373031616,4.44132208824157,59.6037769317626,49.4381771087646,50.3608417510986,445.481521606445,4.39348864555358,77.264232635498
160217_CGI002_CV7009_singlets_CD4 T Cells.fcs,CD4 T cells,CV7009,6.05999040603637,0.69599562883377,0.995204150676727,2.67537236213684,30.0195255279541,15.5653867721557,32.3681106567382,155.292327880859,2.03932118415832,12.4877443313598
160217_CGI002_CV7009_singlets_CD8 T cells.fcs,CD8 T cells,CV7009,6.73032665252685,0.717231750488281,1.71775162220001,1.32357156276702,33.1366729736328,21.7782955169677,39.7895622253418,163.91943359375,1.29284942150115,14.250054359436
160217_CGI002_CV7009_singlets_NK cells.fcs,NK cells,CV7009,7.89396858215332,1.35454058647155,4.9696135520935,0.62959086894989,32.8188934326171,41.6477394104003,5.92031478881835,159.228149414062,0.855547487735748,12.3853616714477
160217_CGI002_CV7009_singlets_NKT cells.fcs,NKT cells,CV7009,6.05321979522705,0.457173764705657,0.174808070063591,0.299179047346115,16.0075817108154,30.6951637268066,4.86419868469238,74.9184799194336,0,7.17395067214965
160217_CGI002_CV7009_singlets_T cells.fcs,T cells,CV7009,6.22309756278991,0.678765714168548,1.18204629421234,2.1274276971817,30.4021120071411,17.3437232971191,33.0836372375488,155.91584777832,1.81108313798904,12.9192895889282
160217_CGI002_CV7009_singlets_pDC.fcs,pDCs,CV7009,9.17926406860351,4.12267017364501,4.48758220672607,2.37606310844421,47.220287322998,40.0638618469238,18.7767028808593,312.435409545898,0.632413655519485,57.6119518280029
160217_CGI002_CV7012 _singlets_B cells.fcs,B cells,CV7012,6.52541351318359,0.419904857873916,1.85954904556274,2.86998605728149,34.9966697692871,20.1519985198974,5.92514276504516,139.175460815429,0,21.0485897064209
160217_CGI002_CV7012 _singlets_Basophils.fcs,Basophils,CV7012,7.03802824020385,1.65017592906951,0.540548503398895,0.451534807682037,6.93422269821167,0.721740782260894,6.63581800460815,48.6036415100097,1.0929901599884,9.64445495605468
160217_CGI002_CV7012 _singlets_CD14 monocytes.fcs,CD14 monocytes,CV7012,21.9844741821289,4.65381741523742,8.20841264724731,7.26624035835266,48.7758693695068,27.3998622894287,18.1104946136474,301.966934204101,2.68674421310424,28.6373805999755
160217_CGI002_CV7012 _singlets_CD16 monocytes.fcs,CD16 monocytes,CV7012,20.3754320144653,7.99538540840148,4.16339540481567,6.30245351791381,38.7703227996826,69.6590805053711,10.2125654220581,205.279197692871,0.127964965999126,17.5718002319335
160217_CGI002_CV7012 _singlets_CD1c DC.fcs,CD1c DCs,CV7012,15.163423538208,4.60704660415649,9.26509618759155,4.45318031311035,50.0611133575439,45.4874267578125,44.2561416625976,350.587646484375,2.03123664855957,43.478609085083
160217_CGI002_CV7012 _singlets_CD4 T Cells.fcs,CD4 T cells,CV7012,5.76339197158813,0.374296128749847,0.892509996891021,2.62288188934326,29.4507465362548,12.397530555725,29.9650650024414,135.87353515625,2.21938896179199,9.11597633361816
160217_CGI002_CV7012 _singlets_CD8 T cells.fcs,CD8 T cells,CV7012,6.37651109695434,0.400226116180419,1.30848884582519,1.3088936805725,31.9159069061279,19.0384502410888,35.8459701538085,141.128295898437,1.60745894908905,9.85551738739013
160217_CGI002_CV7012 _singlets_NK cells.fcs,NK cells,CV7012,6.91975569725036,0.809324353933334,4.69577717781066,0.599204748868942,30.0952758789062,32.2593212127685,4.99042415618896,133.475814819335,0.582595378160476,10.6863121986389
160217_CGI002_CV7012 _singlets_NKT cells.fcs,NKT cells,CV7012,5.87535333633422,0,0.463846936821937,0.210121825337409,15.2389855384826,27.9146318435668,4.38348627090454,65.3917160034179,0.0819554217159748,5.76105499267578
160217_CGI002_CV7012 _singlets_T cells.fcs,T cells,CV7012,5.93339300155639,0.348726332187652,0.998629212379455,2.0828458070755,29.6470279693603,14.3289184570312,30.3462877273559,135.6577835083,2.03710639476776,9.33830595016479
160217_CGI002_CV7012 _singlets_pDC.fcs,pDCs,CV7012,10.0042295455932,5.24141454696655,4.5622010231018,2.12662744522094,46.5895881652832,34.6618270874023,18.8735618591308,266.573669433593,0.820741593837738,42.8118324279785
160217_CGI002_CV7013 _singlets_B cells.fcs,B cells,CV7013,5.67425107955932,0.240184888243675,2.40145564079284,2.67082440853118,37.272008895874,18.0050926208496,6.16778326034545,176.067817687988,0,23.3375806808471
160217_CGI002_CV7013 _singlets_Basophils.fcs,Basophils,CV7013,5.98227977752685,2.12376713752746,1.08132898807525,0.337722569704055,7.1926999092102,0.734553813934326,7.43191337585449,57.596450805664,1.01117146015167,10.172306060791
160217_CGI002_CV7013 _singlets_CD14 monocytes.fcs,CD14 monocytes,CV7013,20.3866386413574,4.06349325180053,8.40427589416503,6.93599557876586,45.8215141296386,26.0959014892578,18.6140098571777,295.354034423828,2.01235890388488,25.2611370086669
160217_CGI002_CV7013 _singlets_CD16 monocytes.fcs,CD16 monocytes,CV7013,19.5678901672363,7.90111780166626,3.89973878860473,5.91297483444213,37.211196899414,63.6463584899902,9.94460868835449,211.696990966796,0.341459691524505,16.1082210540771
160217_CGI002_CV7013 _singlets_CD1c DC.fcs,CD1c DCs,CV7013,14.0282135009765,4.33181953430175,9.72178554534912,4.18183183670043,46.206859588623,40.8077850341796,43.8182411193847,362.432159423828,1.65524196624755,46.3059043884277
160217_CGI002_CV7013 _singlets_CD4 T Cells.fcs,CD4 T cells,CV7013,5.45671916007995,0.212439149618148,1.40972471237182,2.51195955276489,30.5270147323608,12.0622591972351,29.5658254623413,152.713768005371,2.3110624551773,9.9385290145874
160217_CGI002_CV7013 _singlets_CD8 T cells.fcs,CD8 T cells,CV7013,6.09775876998901,0.310147285461425,2.21375656127929,1.21466743946075,32.868049621582,18.9624938964843,34.9450569152832,162.211791992187,1.68204152584075,11.3486051559448
160217_CGI002_CV7013 _singlets_NK cells.fcs,NK cells,CV7013,6.75563144683837,0.601408839225769,4.952232837677,0.542217224836349,30.8840808868408,31.3493299484252,5.2890875339508,149.987083435058,0.574709683656692,12.6535606384277
160217_CGI002_CV7013 _singlets_NKT cells.fcs,NKT cells,CV7013,5.47607803344726,0.135452788323164,0.260918840765953,0.525138795375824,17.3715343475341,22.7963771820068,4.40963101387023,74.0327339172363,0,7.1824791431427
160217_CGI002_CV7013 _singlets_T cells.fcs,T cells,CV7013,5.62532663345336,0.21563546359539,1.60405492782592,1.98173797130584,30.6312637329101,14.1677169799804,29.9435138702392,153.183059692382,2.11478924751281,10.3773279190063
160217_CGI002_CV7013 _singlets_pDC.fcs,pDCs,CV7013,10.3430981636047,4.22600984573364,4.93145418167114,2.08250105381011,45.2610282897949,29.7841205596923,17.6028289794921,298.369659423828,0.850932389497757,39.378433227539
160217_CGI002_CV7015 _singlets_B cells.fcs,B cells,CV7015,5.36116695404052,0.560132712125778,2.55083894729614,2.69857621192932,32.9359798431396,19.8184337615966,5.56735491752624,167.828750610351,0,24.0809230804443
160217_CGI002_CV7015 _singlets_Basophils.fcs,Basophils,CV7015,8.26050949096679,2.72861099243164,1.49411916732788,0.612498521804809,6.85375547409057,2.18448162078857,6.62265872955322,65.0790023803711,1.55159938335418,11.0166120529174
160217_CGI002_CV7015 _singlets_CD14 monocytes.fcs,CD14 monocytes,CV7015,24.7002372741699,6.35857677459716,10.7901430130004,8.30788230895996,48.9726448059082,34.9598731994628,20.2538089752197,341.635131835937,4.44954681396484,35.2643661499023
160217_CGI002_CV7015 _singlets_CD16 monocytes.fcs,CD16 monocytes,CV7015,21.7222690582275,8.62135410308837,4.47595167160034,6.42197179794311,36.2900047302246,79.0915374755859,10.258843421936,229.000381469726,0.59755128622055,18.8120098114013
160217_CGI002_CV7015 _singlets_CD1c DC.fcs,CD1c DCs,CV7015,15.3902282714843,5.01672148704528,14.0596265792846,4.21918153762817,51.4872455596923,47.6975555419921,46.946662902832,403.460678100585,3.64600265026092,70.4036750793457
160217_CGI002_CV7015 _singlets_CD4 T Cells.fcs,CD4 T cells,CV7015,5.57747793197631,0.400817140936851,1.35343068838119,2.68409299850463,28.8024806976318,12.4295783042907,30.2035131454467,156.678199768066,2.11597573757171,10.6211977005004
160217_CGI002_CV7015 _singlets_CD8 T cells.fcs,CD8 T cells,CV7015,6.28487682342529,0.49454516172409,2.01877093315124,1.37267076969146,30.8497829437255,19.5725841522216,36.0574836730957,165.933166503906,1.53377556800842,12.3786716461181
160217_CGI002_CV7015 _singlets_NK cells.fcs,NK cells,CV7015,6.84147548675537,0.896707952022552,4.68404865264892,0.506910264492034,27.8148880004882,33.353889465332,4.7932071685791,142.575012207031,0.612257421016693,11.097445487976
160217_CGI002_CV7015 _singlets_NKT cells.fcs,NKT cells,CV7015,5.56481599807739,0,0.741624116897583,0.752855449914932,15.5733323097229,28.5815963745117,3.45574700832366,71.4855842590332,0,7.36623573303222
160217_CGI002_CV7015 _singlets_T cells.fcs,T cells,CV7015,5.76996803283691,0.393330037593841,1.51499259471893,2.11759650707244,28.9089956283569,14.4942488670349,30.5726537704467,157.057395935058,1.92674469947814,11.0535044670104
160217_CGI002_CV7015 _singlets_pDC.fcs,pDCs,CV7015,9.72701930999755,4.72864151000976,4.5300498008728,2.01265048980712,42.5948066711425,35.8552742004394,18.6134452819824,305.52685546875,0.805113136768341,44.6061820983886
160217_CGI002_CV7016_singlets_B cells.fcs,B cells,CV7016,5.73323631286621,0.400325894355773,2.62834954261779,2.42085218429565,35.8673706054687,18.8718605041503,6.23382496833801,167.061386108398,0,21.5154390335083
160217_CGI002_CV7016_singlets_Basophils.fcs,Basophils,CV7016,7.3170166015625,1.97971856594085,1.43346214294433,0.898077666759491,7.015061378479,0.541100621223449,7.629976272583,52.4448013305664,0.803674817085266,8.8571720123291
160217_CGI002_CV7016_singlets_CD14 monocytes.fcs,CD14 monocytes,CV7016,23.225938796997,4.63586616516113,8.11735916137695,7.09268426895141,46.5846328735351,30.8446216583251,19.6216030120849,313.460998535156,1.98732328414917,27.1817913055419
160217_CGI002_CV7016_singlets_CD16 monocytes.fcs,CD16 monocytes,CV7016,19.2991285324096,6.60231208801269,4.00407481193542,5.76603698730468,38.9930839538574,66.9477882385253,9.50262355804443,190.382843017578,0.0207931445911526,14.4848666191101
160217_CGI002_CV7016_singlets_CD1c DC.fcs,CD1c DCs,CV7016,13.8005399703979,3.92937779426574,12.9308562278747,3.93701887130737,52.7714099884033,40.1768379211425,47.3906440734863,391.994018554687,2.53479969501495,62.6417808532714
160217_CGI002_CV7016_singlets_CD4 T Cells.fcs,CD4 T cells,CV7016,5.10588645935058,0.204901590943336,1.19432044029235,2.15346789360046,27.4536705017089,11.6954860687255,30.7303981781005,141.464233398437,1.86862850189208,9.77080345153808
160217_CGI002_CV7016_singlets_CD8 T cells.fcs,CD8 T cells,CV7016,5.58309340476989,0.0949496813118457,1.95946502685546,1.09608703851699,30.3819217681884,16.7872800827026,37.4062747955322,150.215988159179,1.15490198135375,10.5665912628173
160217_CGI002_CV7016_singlets_NK cells.fcs,NK cells,CV7016,6.32194209098815,0.855075299739837,5.90444326400756,0.263369873166084,30.7542924880981,32.5227680206298,4.82430505752563,145.369567871093,0.664634972810745,9.66708803176879
160217_CGI002_CV7016_singlets_NKT cells.fcs,NKT cells,CV7016,4.5924425125122,0,0.495910763740539,0.482977539300918,17.9270610809326,26.0062465667724,4.112069606781,69.6148605346679,0,5.19629764556884
160217_CGI002_CV7016_singlets_T cells.fcs,T cells,CV7016,5.21997594833374,0.151265695691108,1.38512957096099,1.75067245960235,27.8480682373046,13.1181011199951,31.2087993621826,142.239456176757,1.66886520385742,9.94259929656982
160217_CGI002_CV7016_singlets_pDC.fcs,pDCs,CV7016,9.29501628875732,4.03644466400146,5.03461503982543,1.81673061847686,43.9191207885742,32.2892684936523,20.8815402984619,282.634613037109,0.58515328168869,43.1245040893554
160217_CGI002_CV7017_singlets_B cells.fcs,B cells,CV7017,5.51105833053588,0.271538764238357,1.83890974521636,2.73955631256103,37.6274299621582,18.0087451934814,6.81496334075927,144.993255615234,0,24.3233585357666
160217_CGI002_CV7017_singlets_Basophils.fcs,Basophils,CV7017,8.6554274559021,1.79037714004516,1.13926750421524,0.780720442533493,9.00490665435791,1.59280461072921,8.64937257766723,61.2186660766601,1.84270071983337,11.4451489448547
160217_CGI002_CV7017_singlets_CD14 monocytes.fcs,CD14 monocytes,CV7017,24.3415164947509,5.73616766929626,11.3805766105651,7.29728913307189,60.3604526519775,27.7498550415039,20.8478927612304,359.890487670898,5.98854303359985,37.8065547943115
160217_CGI002_CV7017_singlets_CD16 monocytes.fcs,CD16 monocytes,CV7017,19.1303691864013,6.92197084426879,4.17731618881225,4.67372417449951,47.5096969604492,67.6928329467773,10.8499860763549,205.48794555664,0.824792504310607,20.02144241333
160217_CGI002_CV7017_singlets_CD1c DC.fcs,CD1c DCs,CV7017,14.136517047882,4.51823186874389,12.4242491722106,3.70587587356567,61.3408298492431,41.1208324432373,51.3778800964355,390.51431274414,4.21601414680481,76.186164855957
160217_CGI002_CV7017_singlets_CD4 T Cells.fcs,CD4 T cells,CV7017,5.82486915588378,0.237482666969299,0.742604196071624,2.41935849189758,29.73655128479,11.8768186569213,33.4341964721679,133.909545898437,2.1607928276062,10.1049499511718
160217_CGI002_CV7017_singlets_CD8 T cells.fcs,CD8 T cells,CV7017,6.02151155471801,0.069179393351078,1.2933599948883,1.15685832500457,32.4347076416015,17.0353126525878,41.3503608703613,140.531951904296,1.28883624076843,10.8998460769653
160217_CGI002_CV7017_singlets_NK cells.fcs,NK cells,CV7017,6.94306182861328,0.965256631374359,4.53751230239868,0.377642750740051,33.9495277404785,34.9739036560058,5.98897838592529,140.512557983398,0.780578315258026,10.3185663223266
160217_CGI002_CV7017_singlets_NKT cells.fcs,NKT cells,CV7017,5.59240007400512,0,0.361600220203399,0.642541646957397,19.6246070861816,29.44993019104,4.93709087371826,73.4298324584961,0.186839759349823,5.45173072814941
160217_CGI002_CV7017_singlets_T cells.fcs,T cells,CV7017,5.8470230102539,0.171122148633003,0.894540429115295,1.94410014152526,30.1469917297363,13.3047218322753,34.2241630554199,134.473266601562,1.92644739151,10.273018836975
160217_CGI002_CV7017_singlets_pDC.fcs,pDCs,CV7017,8.77119445800781,4.30747747421264,5.11711359024047,2.55923533439636,48.0967292785644,34.9375534057617,20.8127651214599,291.61734008789,0.513910591602325,47.99898147583
160217_CGI002_CV7019_singlets_B cells.fcs,B cells,CV7019,7.39413213729858,0.338284879922866,2.65398263931274,2.66215372085571,35.7784080505371,17.9910240173339,6.12558126449585,168.913269042968,0,23.9524478912353
160217_CGI002_CV7019_singlets_Basophils.fcs,Basophils,CV7019,7.93247485160827,2.23479628562927,1.81756913661956,0.680359572172164,6.82122182846069,0.979833513498306,6.60643362998962,57.3114128112793,1.35764437913894,10.9394364356994
160217_CGI002_CV7019_singlets_CD14 monocytes.fcs,CD14 monocytes,CV7019,23.858470916748,5.22501611709594,13.9748783111572,7.50351285934448,56.3887405395507,25.5083026885986,19.4729652404785,360.354431152343,6.73709440231323,36.1967620849609
