FCS Filename,SampleType,Individuals,Medians_Ungated_Sm147Di--(pSTAT5), Medians_Ungated_Eu153Di--(pSTAT1), Medians_Ungated_Gd156Di--(pp38), Medians_Ungated_Gd158Di--(pSTAT3), Medians_Ungated_Tb159Di--(pMAPKAP2), Medians_Ungated_Dy162Di--(pPLCg2), Medians_Ungated_Dy164Di--(IkBa), Medians_Ungated_Ho165Di--(pCREB), Medians_Ungated_Yb171Di--(CD161/pERK1/2), Medians_Ungated_Lu175Di--(pS6)
151030_CGI002_CV7100_singlets_NK cells.fcs,NK cells,CV7100,5.52999997138977,3.83200001716613,13.7030000686645,2.7150000333786,31.7405004501342,58.4615001678466,27.1665000915527,100.507503509521,4.6560001373291,0.764999985694885
151030_CGI002_CV7100_singlets_NKT cells.fcs,NKT cells,CV7100,3.5880000591278,2.06599998474121,11.8120002746582,1.7150000333786,24.4780006408691,35.51900100708,21.2320003509521,69.8649978637695,5.61399984359741,0.333999991416931
151030_CGI002_CV7100_singlets_pDCs.fcs,pDCs,CV7100,5.07600021362304,5.51599979400634,31.9829998016357,4.11999988555908,57.773998260498,44.3279991149902,24.5869998931884,225.188995361328,0,30.693000793457
151030_CGI002_CV7101_singlets_CD14+ monocytes.fcs,CD14 monocytes,CV7101,12.4160003662109,13.5089998245239,66.890998840332,11.9490003585815,84.6019973754882,82.0270004272461,23.0139999389648,332.917999267578,8.5930004119873,109.116996765136
151030_CGI002_CV7101_singlets_CD16+ monocytes.fcs,CD16 monocytes,CV7101,11.0160002708435,13.263500213623,31.5215005874633,8.70600032806396,48.8729991912841,96.0025024414062,16.9144992828369,146.18399810791,0,4.81599998474121
151030_CGI002_CV7101_singlets_B cells.fcs,B cells,CV7101,3.65150010585784,2.30599999427795,15.7839999198913,3.5789999961853,36.6639995574951,27.1254997253417,19.1564998626709,80.4395027160644,0,7.79900002479553
151030_CGI002_CV7101_singlets_Basophils.fcs,Basophils,CV7101,8.25950002670288,1.25849997997283,9.17350006103515,1.15650004148483,14.1189999580383,2.75450003147125,16.3769998550415,69.3010025024414,0.0195000004023313,26.981499671936
151030_CGI002_CV7101_singlets_CD1c DCs.fcs,CD1c DCs,CV7101,5.98799991607666,7.06099987030029,52.5789985656738,5.43599987030029,66.3590011596679,55.5810012817382,87.7959976196289,328.308013916015,1.40299999713897,42.4900016784668
151030_CGI002_CV7101_singlets_CD4 T cells.fcs,CD4 T Cells,CV7101,3.82599997520446,1.78400003910064,14.5010004043579,2.57249999046325,29.712999343872,19.4919996261596,49.8734989166259,74.5040016174316,0,0.584499984979629
151030_CGI002_CV7101_singlets_CD8 T cells.fcs,CD8 T cells,CV7101,3.71200001239776,1.63600003719329,14.5929999351501,1.94050002098083,31.0705003738403,20.6014995574951,50.1645011901855,84.7374992370605,0,1.40999996662139
151030_CGI002_CV7101_singlets_NK cells.fcs,NK cells,CV7101,5.15450000762939,3.39800000190734,14.1564998626708,2.24749994277954,32.5520000457763,58.640998840332,28.5780000686645,99.1119995117187,4.64750003814697,0.633000016212463
151030_CGI002_CV7101_singlets_NKT cells.fcs,NKT cells,CV7101,3.5329999923706,2.02700006961822,12.2160000801086,1.90649998188018,25.0980005264282,34.1230010986328,21.9739999771118,65.8484992980957,6.04850006103515,0.637000024318695
151030_CGI002_CV7101_singlets_pDCs.fcs,pDCs,CV7101,4.55100011825561,4.31749987602233,35.6620006561279,3.01850008964538,57.1644992828369,43.5559997558593,24.678500175476,216.320999145507,1.72850000858306,31.1989994049072
